id,lang,text,author_id,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.552333722309239e+18,id,"daftar pse kominfo, bisa baca chat wa dan pesan gmail? yaallah pak gabut amad bacain wa an rakyatnya berjuta juta umat, takut amad di selingkuhin cuaks",1.258021027730223e+18,1.552333722309239e+18,2022-07-27 16:42:55,0,1,2,0,"List of PSE Kominfo, can you read WA Chat and Order Gmail? yaallah Mr. Gabut Amad Bacain Wa An his people millions of people, afraid of Amad in cheating cuaks",-0.6,0.9
1.552331144259314e+18,tl,"heheee

https://t.co/Yes8djrplX",475415262.0,1.552331144259314e+18,2022-07-27 16:32:40,0,0,0,0,"Heheee

https://t.co/Yes8DJRPLX",0.0,0.0
1.552320700441977e+18,id,"@Ariza_Agung Web untung tipis dimintain pajak lagi karena ada yang dijual like damn, rakus amat Kominfo. Jadi, jika mau berlakukan PSE ini dulu, mending perkuat Intel kita, Intel kita aja datanya dijual si forum haha. Perkuat juga basis data kita. Ketimbang 1 T untuk aturan persulit warganya",1.275056072730935e+18,1.552298547596653e+18,2022-07-27 15:51:10,0,1,1,0,"@Ariza_agung web profit is thinly asked for taxes again because there is something sold like damn, very greedy. So, if you want to apply this pse first, better strengthen our intelligence, our intelligence is the data for the forum for the forum. Also strengthen our database. Instead of 1 T for the rules of complicating its citizens",0.1375,0.4958333333333333
1.552311058630844e+18,id,"Perusahaan yang Tak Daftar PSE Kominfo akan Alami Kerugian Ini

Kominfo sebelumnya telah mengeluarkan pernyataan dengan menyebut sanksi dilakukan bertahap, mulai dari teguran, denda administrasi, lalu pemblokiran.
@PlateJohnny
@kemkominfo
https://t.co/tt4JwipvWq",2352745627.0,1.552311058630844e+18,2022-07-27 15:12:51,0,0,0,0,"Companies that do not list PSE Kominfo will experience this loss

The Ministry of Communication and Information had previously issued a statement by mentioning sanctions in stages, starting from reprimands, administrative fines, then blocking.
@Platejohnny
@kemkominfo
https://t.co/tt4jwipvwq",-0.08333333333333333,0.1333333333333333
1.552310466550321e+18,id,"Patuhi Kebijakan Kominfo, Alibaba Cloud Daftar PSE

Country Manager of Alibaba Cloud Indonesia Leon Chen menganggap  regulasi pendaftaran  PSE lingkup privat dari Kementerian Kominfo harus ditaati
@PlateJohnny
@kemkominfo
https://t.co/D2EKYvhGGm",2352745627.0,1.552310466550321e+18,2022-07-27 15:10:30,0,0,1,0,"Obey the policy of the Ministry of Communication and Information, Alibaba Cloud List PSE

Country Manager of Alibaba Cloud Indonesia Leon Chen considers the regulatory registration of PSE Private scope from the Ministry of Communication and Information
@Platejohnny
@kemkominfo
https://t.co/d2ekyvhggm",0.0,0.375
1.552308830234587e+18,en,"PSE Kominfo use unpkg.
unpkg is powered by Cloudflare.
Cloudflare is blocked on PSE. https://t.co/oHDlu1KEY5",1.302523699585716e+18,1.552308830234587e+18,2022-07-27 15:04:00,2,4,25,2,"PSE Kominfo use unpkg.
unpkg is powered by Cloudflare.
Cloudflare is blocked on PSE. https://t.co/oHDlu1KEY5",0.0,0.0
1.55229964470075e+18,id,"kalau dari traffic pengguna sebanyak itu, tapi nilai pendapatannya larinya keluar negeri, menurut gue sangat disayangkan. nilai impor kita besar sekali jikalau harus ditransfer devisa dengan harga USD yang sempat tembus 15rb. Thats why kenapa kominfo menghimbau pendaftaran PSE. https://t.co/22k60HTLlh",1405488812.0,1.552298547596653e+18,2022-07-27 14:27:30,0,1,0,0,"If from that many user traffic, but the value of his income is running abroad, in my opinion it is very unfortunate. Our import value is very large if we have to transfer foreign exchange at a price of USD which had penetrated 15 thousand. THATS WHY Why Communication and Information Appeal to PSE Registration. https://t.co/22k60htllh",0.0008928571428571397,0.5455357142857142
1.552298598464987e+18,id,tiba-tiba kepikiran aturan baru kominfo yang pse itulah ga ngerti juga yang katanya bisaa liat chat whatsapp kita😭,1.043137411075559e+18,1.552297315196879e+18,2022-07-27 14:23:20,0,0,2,0,Suddenly I thought that the new rules of the Ministry of Communication and Information were not understood that he said could see our whatsapp chat,0.06818181818181818,0.4772727272727273
1.552298547596653e+18,id,"*Kominfo mau block pihak pihak yang tidak terdaftar PSE - internet*

""bayar pajak banyak buat apa?""
""nge-block nanti kita komunikasi pake apa?""
""hasil anak bangsa mana? ga ada yang jadi juga""

Percuma bayar pajak..tapi gue rasa ga gitu cara mikirnya. gue kasih cara pandang lain:",1405488812.0,1.552298547596653e+18,2022-07-27 14:23:08,1,1,4,0,"*Communication and Information Want to Block Parties who are not registered PSE - Internet*

""Pay a lot of tax for what?""
""What do we do the block, what do we use it?""
""Which of the nation's children? No one is so""

It's useless to pay taxes ... but I don't think so how to think about it. I give another perspective:",-0.5,0.2
1.552296490424742e+18,id,Bila Meta mengikuti aturan kominfo soal PSE https://t.co/beczaNIqJC,249544585.0,1.552296490424742e+18,2022-07-27 14:14:58,0,0,1,0,"If Meta follows the rules of the Ministry of Communication and Information, about PSE https://t.co/beczaniqjc",0.0,0.0
