id,conversation_id,lang,created_at,author_id,text,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.552695264934183e+18,1.552695264934183e+18,id,2022-07-28 16:39:33,1.12451724572235e+18,"Kominfo Bisa Cek Chat WhatsApp Berkat PSE Lingkup Privat, Ini Penjelasan Pakar https://t.co/4LlfLHl7dY #PseLingkupPrivat #Kominfo #Whatsapp #Gmail",3,0,0,0,"Kominfo can check Whatsapp chat thanks to a private scope, this is an explanation of expert https://t.co/4Llfllhl7dy #pselkuppprivat #kominfo #whatsapp #gmail",0.1,0.2875
1.552684209873261e+18,1.552684209873261e+18,id,2022-07-28 15:55:37,17128975.0,Meme Kocak Netizen Soal Kominfo Bisa Intip Pesan Whatsapp-Gmail https://t.co/LNNWJzlqgc,2,0,4,1,Meme hilarious netizens about the Ministry of Communication and Information can take a peek at Whatsapp-Gmail messages https://t.co/lnnwjzlqgc,0.5,1.0
1.552683542437659e+18,1.552683542437659e+18,id,2022-07-28 15:52:58,1.442122733886665e+18,Meme Kocak Netizen Soal Kominfo Bisa Intip Pesan Whatsapp-Gmail https://t.co/YpPOWWra2H,0,0,0,0,Meme hilarious netizens about the Ministry of Communication and Information can take a peek at WhatsApp-Gmail messages https://t.co/yppowwra2h,0.5,1.0
1.55267084309617e+18,1.552072595855405e+18,id,2022-07-28 15:02:30,1.379780829254017e+18,@SoftWarNews Kamu adalah kartel narkoba dan Polisi Brasil adalah gebetanmu sedangkan Kominfo adalah warga Brasil yang melihat kalian berdua tengkar di WhatsApp,0,0,0,0,@Softwarnews You are a drug cartel and Brazilian police are your crush while the Communication and Information,0.0,0.0
1.552666456478798e+18,1.552666456478798e+18,id,2022-07-28 14:45:05,1.229518084773278e+18,"Kominfo Disebut Bisa Intip Percakapan Whatsapp-Gmail Lewat Aturan PSE
https://t.co/hKv7M93jhf",13,0,14,1,"Kominfo is said to be able to take a peek at Whatsapp-Gmail conversation through PSE rules
https://t.co/hkv7m93jhf",0.5,0.625
1.552658952239755e+18,1.552153539069514e+18,id,2022-07-28 14:15:15,1.437298254073328e+18,@txtfrombrand yauda kalo mau gunjingin pemerintah lewat whatsapp aja. semoga Kominfo amanah. ngga susah susah viralin dulu kalo mau protes,0,0,0,0,@txtfrombrand yauda if you want to want the government through whatsapp. Hopefully the Communication and Information Amanah. It's not hard to viral first if you want to protest,0.1979166666666667,0.4375
1.552658595346784e+18,1.552658595346784e+18,id,2022-07-28 14:13:50,1.421875409864446e+18,"Yang Di Target Pasti Lengket.
Tidak Ada Lagi Hak Privasi Yang Di Lindungi ..

Cara Kominfo Bisa Intip Pesan Whatsapp-Gmail Pakai Aturan PSE https://t.co/nxsGdWLpIk",0,0,0,0,"The target is definitely sticky.
No more privacy rights are protected ..

How to Communication and Communication and Information Meeting WhatsApp-Gmail Order Using PSE Rules https://t.co/nxsgdwlpik",-0.125,0.5
1.552657626521293e+18,1.552657626521293e+18,id,2022-07-28 14:09:59,17128975.0,Cara Kominfo Bisa Intip Pesan Whatsapp-Gmail Pakai Aturan PSE https://t.co/GjnFhGu8tu,9,0,9,4,How to Communication and Information Technology can take a peek at WhatsApp-Gmail messages using PSE rules https://t.co/gjnfhgu8tu,0.0,0.0
1.552654270436061e+18,1.552654270436061e+18,id,2022-07-28 13:56:39,2172050917.0,"aq dan mbany berantem lewat whatsapp

pegawai kominfo: https://t.co/mr3EdCvqki",113,4,815,3,"Aq and Mbany fight via WhatsApp

Kominfo Employee: https://t.co/mr3edcvqki",0.0,0.0
1.552646354719089e+18,1.552646354719089e+18,id,2022-07-28 13:25:12,135815019.0,Aturan PSE Lingkup Privat mendadak jadi bola panas beberapa pekan terakhir. Ancaman pemblokiran Google Cs menghantui apabila tidak daftar ke Kominfo. https://t.co/QWWhBsnuoe,1,0,3,0,PSE rules of private scope have suddenly become hot balls in the last few weeks. The threat of blocking Google cs haunts if you don't register to the Ministry of Communication and Information. https://t.co/QWWHBSNUOE,0.009999999999999998,0.3783333333333334
1.552636556758106e+18,1.552636556758106e+18,id,2022-07-28 12:46:16,750805436.0,"Sebenernya tujuan kominfo ngeliat isi WhatsApp sama email tuh buat apa? Kepo banget, dih. Yang punya temen di kominfo nggak usah ditemenin mulai hari ini kalo kata gue 🙏",0,0,1,0,"Actually the goal of the Ministry of Communication and Information Seeing the contents of WhatsApp and what is the email for? Really kepo, di. Those who have friends in Kominfo don't need to be accompanied by today if I say 🙏",0.1,0.15
1.552634113177244e+18,1.552634113177244e+18,id,2022-07-28 12:36:33,1.403787121530327e+18,"""Dengan Permenkominfo PSE ini, pemerintah bisa meminta dan melihat informasi yang dibutuhkan untuk keperluan penyelidikan, meskipun data tersebut dienkripsi,"" ujar pakar keamanan siber dari CISSReC, Pratama Persadha.
https://t.co/TlVW5udgpy",0,0,0,0,"""With this PSE Permenkominfo, the government can request and see the information needed for investigation purposes, even though the data is encrypted,"" said cyber security expert from Cissrec, Pratama Persadha.
https://t.co/tlvw5udgpy",0.0,0.0
1.552632463767339e+18,1.552632463767339e+18,id,2022-07-28 12:30:00,17128975.0,"""Dengan Permenkominfo PSE ini, pemerintah bisa meminta dan melihat informasi yang dibutuhkan untuk keperluan penyelidikan, meskipun data tersebut dienkripsi,"" ujar pakar keamanan siber dari CISSReC, Pratama Persadha. #CNNIndonesia 
https://t.co/xvPFex4XoX",3,0,4,1,"""With this PSE Permenkominfo, the government can request and see the information needed for investigation purposes, even though the data is encrypted,"" said cyber security expert from Cissrec, Pratama Persadha. #CNNIndonesia
https://t.co/xvpfex4xox",0.0,0.0
1.552630703669785e+18,1.552630703669785e+18,id,2022-07-28 12:23:00,1.40809246090385e+18,Makin lama makin gak ada privasi. https://t.co/IVaBHvY64I,0,0,0,0,The longer there is no privacy. https://t.co/ivabhvy64i,0.0,0.0
1.552628625475772e+18,1.552628625475772e+18,id,2022-07-28 12:14:45,1.026390220562809e+18,"Hati-hati, Kominfo Bisa Akses Isi Percakapan WhatsApp Melalui PSE https://t.co/SsdOhSQFDD",0,0,0,0,"Be careful, Kominfo can access the contents of WhatsApp conversations via PSE https://t.co/ssdohsqfdd",-0.1,1.0
1.552625842634666e+18,1.55227624628897e+18,id,2022-07-28 12:03:41,1.333636182035493e+18,"@txtdrpemerintah Grup whatsapp keluarga yg paling aman deh keknya,.. 
Gw aja males buka, apalagi kominfo",0,0,1,0,"@txtdrperemuan Whatsapp group group is the safest family, ..
I'm just lazy to open, especially Kominfo",-0.08333333333333333,0.8333333333333334
1.552619138165936e+18,1.552153539069514e+18,en,2022-07-28 11:37:03,1076570634.0,"@txtfrombrand Me sending my dicc into a random number on Whatsapp

Kominfo: https://t.co/n4qCXcsSSX",0,1,0,0,"@txtfrombrand Me sending my dicc into a random number on Whatsapp

Kominfo: https://t.co/n4qCXcsSSX",-0.5,0.5
1.552613873316172e+18,1.552613866005471e+18,id,2022-07-28 11:16:08,2794507573.0,"Permintaan membuka informasi di WhatsApp atau Gmail baru bisa dilakukan apabila ada sebuah perkara hukum.

https://t.co/5qgOe7qvwh

#Kominfo #WhatsApp #Gmail",1,0,0,0,"The request to open information on WhatsApp or Gmail can only be done if there is a legal case.

https://t.co/5QGOE7QVWH

#Kominfo #whatsapp #gmail",0.06666666666666667,0.5666666666666667
1.552610928365126e+18,1.552610928365126e+18,en,2022-07-28 11:04:26,2890964370.0,"Through PSE Rules, Kominfo Can Peek into Whatsapp and Gmail Conversations https://t.co/KoEYLI0s8I https://t.co/sPG4pL5J1E",0,0,0,0,"Through PSE Rules, Kominfo Can Peek into Whatsapp and Gmail Conversations https://t.co/KoEYLI0s8I https://t.co/sPG4pL5J1E",0.0,0.0
1.552609815020585e+18,1.552609815020585e+18,id,2022-07-28 11:00:00,17128975.0,"#DetikNetwork
Pakar siber mengungkapkan dengan aturan PSE Lingkup Privat, memungkinkan Kementerian Kominfo mengintip isi percakapan WhatsApp kalian. Kenapa dan kok bisa?
https://t.co/YGtMDIJqvg",1,1,4,1,"#DetikNetwork
Siber experts revealed that with the PSE rules of the private scope, allowing the Ministry of Communication and Information, peeking at the contents of your WhatsApp conversation. Why and how come?
https://t.co/ygtmdijqvg",0.0,0.375
1.552608119649317e+18,1.552608119649317e+18,en,2022-07-28 10:53:16,1.337917237156405e+18,kominfo rn seeing me and my friend discussing this guy red flag behavior in whatsapp https://t.co/FxP4LeXJf1,0,0,0,0,kominfo rn seeing me and my friend discussing this guy red flag behavior in whatsapp https://t.co/FxP4LeXJf1,0.0,0.0
1.55260435005245e+18,1.55260435005245e+18,en,2022-07-28 10:38:17,1.124280639987995e+18,"CMFBAI English: Through PSE Rules, Kominfo Can Peek into Whatsapp and Gmail Conversations https://t.co/FDOucTfQPv 
#kominfo #Newsnight #Newsnight #technews",0,0,0,0,"CMFBAI English: Through PSE Rules, Kominfo Can Peek into Whatsapp and Gmail Conversations https://t.co/FDOucTfQPv 
#kominfo #Newsnight #Newsnight #technews",0.0,0.0
1.552604073978782e+18,1.552604073978782e+18,en,2022-07-28 10:37:11,1.500833234057593e+18,"Hobby kok Gitu sih!!!
Through PSE Rules, Kominfo Can Peek into Whatsapp and Gmail Conversations https://t.co/LHe1mUA3is",0,0,0,0,"Hobby kok Gitu sih!!!
Through PSE Rules, Kominfo Can Peek into Whatsapp and Gmail Conversations https://t.co/LHe1mUA3is",0.0,0.0
1.552603410381169e+18,1.552603410381169e+18,id,2022-07-28 10:34:33,72577557.0,kominfo ga nyesel nih ngintip isi whatsapp w? https://t.co/LRBaeCFpFz https://t.co/UFPFLrKdlB,0,0,0,0,Kominfo doesn't regret peeking at WhatsApp W? https://t.co/lrbaecfpfz https://t.co/ufpflrkdlb,0.0,0.0
1.552603380538675e+18,1.552603380538675e+18,id,2022-07-28 10:34:26,1401345210.0,Benarkah Aturan PSE Memungkinkan Kominfo Bisa Intip Percakapan WhatsApp Pengguna? https://t.co/1rHoaXYf7P,0,0,0,0,Is it true that the PSE rules allow the Ministry of Communication and Information to take a peek at the user's WhatsApp conversation? https://t.co/1rhoaxxyf7p,0.35,0.65
