id,text,created_at,conversation_id,lang,author_id,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.55341569010681e+18,"Sekarang kita butuh orang2 yang bernyali seperti Amrozi, Imam Samudra dan Ali Ghufron untuk nge bom gedung kominfo #bakarKominfo #KominfoKontol",2022-07-30 16:22:16,1.55341569010681e+18,id,1.482283511705117e+18,1,0,1,0,"Now we need brave people like Amrozi, Imam Samudra and Ali Ghufron to bomb the #Bakarkominfo Kominfo Building",0.8,1.0
1.553385843762479e+18,pengen gue bom atom kominfo nih,2022-07-30 14:23:40,1.553385843762479e+18,id,1.440554842775118e+18,0,0,0,0,I want to bomb the Communication and Information,0.0,0.0
1.553378271840317e+18,"@kemkominfo Lu mau ga, Kantor kominfo Dan para petinggi pegawainya Di bom rata..,gampang Bos nyari potassium",2022-07-30 13:53:35,1.553188847617331e+18,id,9.406561695336366e+17,0,0,0,0,"@kemkominfo you want it, the Ministry of Communication and Information Office and its employees' officials on the flat bomb ..., it's easy to find potassium",0.2041666666666667,0.4791666666666667
1.553326750117265e+18,@TearofEvil_ @memefess Yang di bom harusnya database semua aset kominfo dan partner partnernya,2022-07-30 10:28:51,1.553205005972537e+18,id,1.519652044260647e+18,0,0,0,0,@Tearofevil_ @memeffess in the bomb should database all the assets of the Ministry of Communication and Information,0.0,0.0
1.553294443964678e+18,@azrawkwk mari berdiskusi membuat bom panci untuk segera dikirimkan di kantor pusat kominfo di grup whatsapp,2022-07-30 08:20:28,1.553292223415931e+18,id,1083179917.0,0,0,0,0,@azrawkwk let's discuss making a pot bomb to be sent at the Ministry of Communication and Information Head Office in the WhatsApp group,0.0,0.0
1.553281195815109e+18,Ribut² kominfo ini gak akan terjadi kalau masing² rakyat indonesia merakit bom pipa dan mengirimkan via kantor pos ke gedung kominfo.,2022-07-30 07:27:50,1.553281195815109e+18,id,1.222112047892066e+18,151,29,905,9,This Kominfo noisy will not happen if each Indonesian people assemble the pipe bomb and send via the post office to the Communication and Information Building.,0.0,0.0
1.553276129431388e+18,"Teroris seharusnya jngn ngebom tempat ibadah, kantor kontol kyk kominfo lebih layak di bom sih",2022-07-30 07:07:42,1.553276129431388e+18,id,1.197480888986026e+18,0,0,0,0,"Terrorists should not bomb places of worship, the dick office like the Ministry of Communication and Information",0.0,0.0
1.553265921397236e+18,@lukmanjlsh Ayo kita bom kominfo,2022-07-30 06:27:08,1.553223370543534e+18,id,953288912.0,0,0,0,0,"@LukManjlsh Come on, let's bomb the Communication and Information",0.0,0.0
1.553263756716933e+18,"Ingfokan klo Kantor pusat Kominfo kena serangan Bom EMP (Electromagnetic Pulse) rakitan oleh oknum yg kesal gara² mereka main blokir sana sini 
#BlokirKominfo",2022-07-30 06:18:32,1.553263756716933e+18,id,9.053243963440988e+17,0,0,0,0,"Ingfokan if the Ministry of Communication and Information Head Office was hit by an EMP bomb attack (Electromagnetic Pulse) assembled by an annoyed person because they played the block here and there
#Blokirkominfo",-0.4,0.8
1.553235128859886e+18,kominfo minta di bom kali ya,2022-07-30 04:24:47,1.553235128859886e+18,id,1359057812.0,0,0,0,0,Kominfo asked for at the bomb,0.0,0.0
1.553208497801949e+18,Kalo merakit bom diperbolehkan mungkin 2 minggu yang lalu kantor kominfo sudah meledak,2022-07-30 02:38:57,1.553208497801949e+18,id,1.524939900826845e+18,0,2,0,0,"If assembled the bomb it is permissible, maybe 2 weeks ago the Kominfo office has exploded",0.0,0.0
1.553206961331507e+18,Bom aja kominfo gajelas tot,2022-07-30 02:32:51,1.553206961331507e+18,id,1.532197796018651e+18,0,0,1,0,Just bomb communication communication tot,0.0,0.0
1.553205410043425e+18,"@Softiestrom_ BOM KOMINFO NYA AJA, JGN BUMI 😭😭😭😭",2022-07-30 02:26:41,1.553176868823912e+18,id,1.007266435205247e+18,0,0,0,0,@Softiestrom_ Bombing the Communication and Information,0.0,0.0
1.553171131653566e+18,Bom Kominfo... Maksudnya Blokir Kominfo,2022-07-30 00:10:28,1.553171131653566e+18,id,1.117395827226366e+18,0,2,1,0,BOMMINFO BOM ... I mean blocking the Communication and Information,-0.3125,0.6875
1.553166078658114e+18,@dazzldaisy SI PALING BEBAN AHSBAKANAKAK mari bom gedung kominfo 🤬,2022-07-29 23:50:24,1.553164732823212e+18,id,1.472626794209546e+18,0,1,0,0,@DAZZLDAISY SI MOST AHSBAKANAKAK MARI BOMM COMMINFO BOMM 🤬,0.5,0.5
1.553160307056337e+18,slowly? my brother in christ ini bom nuklir #kominfo https://t.co/JltindXO5F,2022-07-29 23:27:28,1.553160307056337e+18,en,1.5206709967174e+18,0,0,4,0,slowly? my brother in christ ini bom nuklir #kominfo https://t.co/JltindXO5F,-0.3,0.4
