id,created_at,text,author_id,conversation_id,lang,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553018628642968e+18,2022-07-29 14:04:29,"Kominfo akan blokir Dota, Counter Strike, dan 4 Platform Game lainnya jika tidak daftar PSE hingga nanti malam pukul 23.59 WIB.

#besmartidn

Selengkapnya klik link di bawah ini👇👇👇
https://t.co/4TjPnrpUz6",1.490529555786125e+18,1.553018628642968e+18,id,0,0,0,0,"kominfo akan blokir dota, counter strike, dan 4 platform game lainnya jika tidak daftar pse hingga nanti malam pukul 23.59 wib. #HASHTAG selengkapnya klik link di bawah ini:backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down: HTTPURL",neutral,0.98973548412323
1.55297311923284e+18,2022-07-29 11:03:39,"Peraturan Penyelenggara Sistem Elektronik Kementrian Komunikasi dan Informatika dinilai mempunyai beberapa masalah yang cukup krusial.

Baca selengkapnya hanya di https://t.co/NuJENMkACh

#insidemedia #insideindonesia #newsupdate #kemkominfo #kominfo #news
https://t.co/FOmmigeSIT",1.541657751751127e+18,1.55297311923284e+18,id,0,0,0,0,peraturan penyelenggara sistem elektronik kementrian komunikasi dan informatika dinilai mempunyai beberapa masalah yang cukup krusial. baca selengkapnya hanya di HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL,neutral,0.9765328764915466
1.552919738849698e+18,2022-07-29 07:31:32,"Aplikasi-aplikasi tersebut antara lain adalah Facebook, Instagram, dan Whatsapp. Namun hingga berita ini dibuat, Youtube hingga Tinder belum mendaftarkan aplikasinya sebagai PSE kepada Kominfo.",1.420635149054538e+18,1.552919714640191e+18,id,0,1,0,0,"aplikasi-aplikasi tersebut antara lain adalah facebook, instagram, dan whatsapp. namun hingga berita ini dibuat, youtube hingga tinder belum mendaftarkan aplikasinya sebagai pse kepada kominfo.",neutral,0.9948251247406006
1.552919714640191e+18,2022-07-29 07:31:26,"INSTAGRAM, NETFLIX, HINGGA TINDER AKAN DIBLOKIR KOMINFO?",1.420635149054538e+18,1.552919714640191e+18,id,0,1,0,0,"instagram, netflix, hingga tinder akan diblokir kominfo?",neutral,0.9937466382980347
1.552919246443e+18,2022-07-29 07:29:34,"Lewat aturan PSE lingkup privat, kementerian Kominfo RI sekarang sudah bisa memantau semua isi percakapan di Facebook, wasttapp, telegram,signal,dan juga email yang masuk ke Gmail atau Yahoo email anda, termasuk DM di Twitter dan Instagram karena adanya aturan PSE.",9.800975597367214e+17,1.552919246443e+18,id,2,1,2,0,"lewat aturan pse lingkup privat, kementerian kominfo ri sekarang sudah bisa memantau semua isi percakapan di facebook, wasttapp, telegram,signal,dan juga email yang masuk ke gmail atau yahoo email anda, termasuk dm di twitter dan instagram karena adanya aturan pse.",neutral,0.990058958530426
1.552913986026611e+18,2022-07-29 07:08:40,"Kementerian Kominfo RI sekarang sudah di ijinkan untuk melihat semua chat di media sosial,baik itu pesan di wasttapp grup, DM di Twitter dan Instagram, percakapan di Facebook group dan email yang masuk ke Gmail atau Yahoo email anda, karena adanya aturan PSE lingkup privat.",9.800975597367214e+17,1.552913986026611e+18,id,1,0,1,0,"kementerian kominfo ri sekarang sudah di ijinkan untuk melihat semua chat di media sosial,baik itu pesan di wasttapp grup, dm di twitter dan instagram, percakapan di facebook group dan email yang masuk ke gmail atau yahoo email anda, karena adanya aturan pse lingkup privat.",neutral,0.985169529914856
1.552906968243007e+18,2022-07-29 06:40:47,"Berdasarkan aturan PSE lingkup privat, sekarang pihak kementerian Kominfo RI, bisa melihat chattingan pada platform media sosial anda, seperti di wasttapp, DM di Twitter dan Instagram,dan chattingan di wasttapp grup anda.hal ini untuk mengantisipasi kejahatan di media sosial.",9.800975597367214e+17,1.552906968243007e+18,id,1,0,1,0,"berdasarkan aturan pse lingkup privat, sekarang pihak kementerian kominfo ri, bisa melihat chattingan pada platform media sosial anda, seperti di wasttapp, dm di twitter dan instagram,dan chattingan di wasttapp grup anda.hal ini untuk mengantisipasi kejahatan di media sosial.",neutral,0.9766270518302917
1.552881871725347e+18,2022-07-29 05:01:04,"Kementerian Komunikasi dan Informatika (Kominfo) mengancam akan memblokir Google, WhatsApp, Instagram, Netflix, dan kawan-kawannya beberapa hari lagi.
Hal ini, lantaran para perusahaan asing tersebut hingga saat ini tidak kunjung mendaftar sebagai Penyelenggara Sistem Elektronik. https://t.co/HHR77Og8Zu",1.438732688198824e+18,1.552881871725347e+18,id,0,0,0,0,"kementerian komunikasi dan informatika (kominfo) mengancam akan memblokir google, whatsapp, instagram, netflix, dan kawan-kawannya beberapa hari lagi. hal ini, lantaran para perusahaan asing tersebut hingga saat ini tidak kunjung mendaftar sebagai penyelenggara sistem elektronik. HTTPURL",neutral,0.8841331005096436
1.552872655463895e+18,2022-07-29 04:24:26,"The closer the time is, the warmer it is .. #g20 #dte #wir #wirgroup #kominfo @ Nusa Dua, Bali https://t.co/64EgbgX7BL",125592215.0,1.552872655463895e+18,en,0,0,0,0,"the closer the time is, the warmer it is .. #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG @USER nusa dua, bali HTTPURL",positive,0.7024714946746826
1.552864739872723e+18,2022-07-29 03:52:59,"Sobat pe-GIAT, closing ceremony Jatim Kominfo Festival . Kamis, 28 Juli 2022 di Royal Orchid Garden Hotel Kota Batu.

Kim GIAT : https://t.co/NidUZ5YtWy https://t.co/uPhYb1upnm",1.44410550828619e+18,1.552864739872723e+18,id,0,0,1,0,"sobat pe-giat, closing ceremony jatim kominfo festival . kamis, 28 juli 2022 di royal orchid garden hotel kota batu. kim giat : HTTPURL HTTPURL",neutral,0.9951687455177307
